chave_coluna_lista,nivel_linha,campo_api_frontend,campo_prisma_pedido,campo_prisma_item,campo_propagacao_pai,tabela_postgres,tipo_prisma,tipo_comportamento_lista,grupo_coluna_lista,label_cabecalho_tela,tooltip_titulo_tela,armazenamento_banco,back_patch_campo,origem_dado
tin_ope,pedido,tin_ope,,,,pedido,,,Partes,TIN do OPE,TIN do OPE,json_extras_ou_detalhes_operacionais,tin_ope,lista_gtv
tipo_operacao,pedido,tipo_operacao,tipo_operacao_pedido,,tipo_operacao_item,pedido,String,alfanumerico,Identificação,Tipo de Operação,Tipo de Operação,coluna_pedido,tipo_operacao_pedido,lista_gtv
tipo_volume_pedido,pedido,tipo_volume_pedido,tipo_volume_pedido,,tipo_volume_item,pedido,String,,Quantidades,Tipo Volume Pedido/Item,,coluna_pedido,tipo_volume_pedido,lista_gtv
unidade_comercializada_pedido,pedido,unidade_comercializada_pedido,unidade_comercializada_pedido,,unidade_comercializada_item,pedido,String,alfanumerico,Quantidades,Unidade Comercializada,,coluna_pedido,unidade_comercializada_pedido,lista_gtv
valor_por_unidade_item,pedido,valor_por_unidade_item,,valor_por_unidade_item,,pedido_item,Decimal,,Financeiro,Valor Unitário do Item,Valor Unitário do Item - Linha Pedido,ghost_agregado_ou_unico_itens,valor_por_unidade_item,lista_gtv
valor_total_cambio_pedido,pedido,valor_total_cambio_pedido,valor_total_cambio_pedido,,,pedido,Decimal,calculado,Câmbio,Valor Total Câmbio,,coluna_pedido,valor_total_cambio_pedido,lista_gtv
valor_total_pedido,pedido,valor_total_pedido,valor_total_pedido,,,pedido,Decimal,calculado,Financeiro,Valor Total do Pedido/Item,,coluna_pedido,valor_total_pedido,lista_gtv
versao_ope,pedido,versao_ope,,,,pedido,,,Partes,Versão do OPE,Versão do Operador Exterior,json_extras_ou_detalhes_operacionais,versao_ope,lista_gtv
whatsapp_contato_exportador,pedido,whatsapp_contato_exportador,,,,pedido,,,Partes,WhatsApp do Exportador,WhatsApp do Contato no Exportador,json_extras_ou_detalhes_operacionais,whatsapp_contato_exportador,lista_gtv
zip_code_exportador,pedido,zip_code_exportador,,,,pedido,,somente_leitura,Partes,CEP do Exportador,CEP do Exportador,json_extras_ou_detalhes_operacionais,zip_code_exportador,lista_gtv
zip_code_fabricante,pedido,zip_code_fabricante,,,,pedido,,,Partes,CEP do Fabricante,CEP do Fabricante,json_extras_ou_detalhes_operacionais,zip_code_fabricante,lista_gtv
zip_code_ope,pedido,zip_code_ope,,,,pedido,,,Partes,CEP do OPE,Código Postal do OPE,json_extras_ou_detalhes_operacionais,zip_code_ope,lista_gtv
